,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
37.0,0.8719329014982145,0.9115509033319524,0.9345579591076056,0.8912784375693533,0.9343935850648968,0.9132608932751712,0.8741984756614051,0.9297757859438278,0.931942104263065,0.938732497902318,0.961166741245744,0.941698734613866,0.9487154647982384,0.9572424983083192,0.9599285486178536,0.9488786705603894,0.95746300347612,0.9717958348047966,0.9769681778528696,0.964086360548052,0.9731796983314562,0.963812535581214,0.9491855717399744
40.0,0.9701154737687668,0.9627786798089653,,,,,,,,,,,,,,,,,,,,,
41.0,0.9232168485673552,,,,,,,,,,,,,,,,,,,,,,
42.0,0.9479078486572272,0.9765103849186054,0.9779031031333774,,,,,,,,,,,,,,,,,,,,
43.0,0.9574120548198156,,,,,,,,,,,,,,,,,,,,,,
44.0,0.9243802610570764,,,,,,,,,,,,,,,,,,,,,,
46.0,0.9578080396672702,,,,,,,,,,,,,,,,,,,,,,
47.0,0.9591766184802288,,,,,,,,,,,,,,,,,,,,,,
48.0,0.9395844053508962,0.9413579298943736,,,,,,,,,,,,,,,,,,,,,
51.0,0.9462619821602146,0.9587658170167106,,,,,,,,,,,,,,,,,,,,,
54.0,0.954635216691738,,,,,,,,,,,,,,,,,,,,,,
56.0,0.940868677812621,,,,,,,,,,,,,,,,,,,,,,
