,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
37,0.90868217251279,0.9263101263507392,0.9222833210194364,0.92500177021264,0.916735917551568,0.9299790682156728,0.9091742054401488,0.8936495090470281,0.9198228175496516,0.9169144071769924,0.9254153185482574,0.9087269718663988,0.9152593157856695,0.9116356530893276,0.9160200847251208,0.937272248976577,0.8842535352603704,0.8393881040417862,0.9137827668502334,0.9122165821961672,0.9247889440485532,0.9302474736035836
40,0.932126703556371,0.9506048360514376,,,,,,,,,,,,,,,,,,,,
43,0.9429095990491032,0.9370040013554488,0.94474400494489,,,,,,,,,,,,,,,,,,,
44,0.9360194038425556,0.9445651110976382,0.9513207017505128,,,,,,,,,,,,,,,,,,,
45,0.9450122665953788,0.9419246217780096,,,,,,,,,,,,,,,,,,,,
46,0.9464439016848174,0.9282339502757128,,,,,,,,,,,,,,,,,,,,
47,0.9498444031485548,,,,,,,,,,,,,,,,,,,,,
48,0.9287261821263068,,,,,,,,,,,,,,,,,,,,,
49,0.9574951279555712,0.9029622415533396,,,,,,,,,,,,,,,,,,,,
50,0.9397326508478844,,,,,,,,,,,,,,,,,,,,,
51,0.9310531764171892,0.937898320642046,,,,,,,,,,,,,,,,,,,,
52,0.9406284402881184,,,,,,,,,,,,,,,,,,,,,
53,0.9420603128991524,,,,,,,,,,,,,,,,,,,,,
54,0.9354378252713144,,,,,,,,,,,,,,,,,,,,,
55,0.9553922207408626,,,,,,,,,,,,,,,,,,,,,
56,0.9349027083797544,0.9081905563441708,0.9273400467908604,0.9520818931343716,,,,,,,,,,,,,,,,,,
57,0.9503365552727702,,,,,,,,,,,,,,,,,,,,,
58,0.9141861989047888,0.9429095231474992,,,,,,,,,,,,,,,,,,,,
59,0.9513209348072592,,,,,,,,,,,,,,,,,,,,,
60,0.9306062285923212,0.9469810348109824,,,,,,,,,,,,,,,,,,,,
62,0.9220160554427468,0.9353034335710372,,,,,,,,,,,,,,,,,,,,
63,0.9370033571995836,0.9429098336540208,,,,,,,,,,,,,,,,,,,,
65,0.9443411778316364,0.9332463008061485,,,,,,,,,,,,,,,,,,,,
67,0.9655934983821778,,,,,,,,,,,,,,,,,,,,,
68,0.9090854699939528,,,,,,,,,,,,,,,,,,,,,
69,0.9473834470221704,0.9455937901515928,0.9436254260256732,,,,,,,,,,,,,,,,,,,
71,0.9328428887232644,,,,,,,,,,,,,,,,,,,,,
73,0.937676314199656,0.9450573476714632,,,,,,,,,,,,,,,,,,,,
74,0.933290298565368,,,,,,,,,,,,,,,,,,,,,
79,0.923670414985194,,,,,,,,,,,,,,,,,,,,,
87,0.9226428912418094,,,,,,,,,,,,,,,,,,,,,
