,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
37.0,0.917562364078072,0.982108695283042,0.936327003258216,0.950621785818135,0.850102576617358,0.902081373729384,0.63013037779063,0.691605043173562,0.847445659015763,0.898375320838415
42.0,0.793562360464236,0.820095534672885,,,,,,,,
43.0,0.891798806837898,,,,,,,,,
44.0,0.801095598420069,0.766899857625848,,,,,,,,
45.0,0.65697359129029,,,,,,,,,
46.0,0.538878854594662,,,,,,,,,
48.0,0.769279192246564,0.722701945987844,,,,,,,,
52.0,0.662528746571157,0.744435146630553,0.823612532798216,0.805982821461224,,,,,,
53.0,0.895837826932553,,,,,,,,,
57.0,0.791480250318971,0.723892874569025,,,,,,,,
60.0,0.565043243666311,0.901668950821485,,,,,,,,
62.0,0.844167132651336,,,,,,,,,
64.0,0.943949001601486,,,,,,,,,
66.0,0.780414134815212,,,,,,,,,
68.0,0.829834642489735,,,,,,,,,
69.0,0.69858831340579,,,,,,,,,
70.0,0.917455431374728,,,,,,,,,
71.0,0.924155983376079,0.824811233230949,,,,,,,,
79.0,0.861410912411084,,,,,,,,,
85.0,0.894399506098619,,,,,,,,,
