,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
37.0,46.60616884267282,47.9347935173018,43.551923161278125,50.506553056399866,39.11591221122112,44.51078723527705,42.66203076923077,49.3341247311828,36.75800992907801,46.87879252238021,36.68689172576832,47.24137280966767,35.37694305555556,57.489070512292265,50.5576070141878,46.36902957295142,54.71750882856444,48.13126596279537
39.0,45.84788571428571,40.15439657240789,,,,,,,,,,,,,,,,
40.0,44.20507449410718,,,,,,,,,,,,,,,,,
41.0,46.06395743348983,50.726409006835546,35.99481776790188,,,,,,,,,,,,,,,
42.0,47.49896687116565,41.88393994294859,45.18533956724414,38.50071240039394,34.90532099430968,,,,,,,,,,,,,
43.0,50.12508671517111,40.45545569050832,,,,,,,,,,,,,,,,
44.0,48.47300789285482,45.86718422939069,41.56692811918063,,,,,,,,,,,,,,,
45.0,50.14324951941561,54.03931718569781,39.29555423118123,,,,,,,,,,,,,,,
46.0,40.42944835056622,,,,,,,,,,,,,,,,,
48.0,38.05474178957719,46.578126041348405,,,,,,,,,,,,,,,,
49.0,47.068029709883234,,,,,,,,,,,,,,,,,
50.0,38.11903202497177,,,,,,,,,,,,,,,,,
51.0,31.91776375344986,,,,,,,,,,,,,,,,,
52.0,42.47825388127855,38.42409697996048,49.28971422637591,46.02129874551972,,,,,,,,,,,,,,
53.0,63.15834703511802,36.088044123545934,42.22227657217336,,,,,,,,,,,,,,,
55.0,47.579347376820266,,,,,,,,,,,,,,,,,
57.0,51.19561435594886,39.10885834193326,,,,,,,,,,,,,,,,
58.0,51.45134779116466,,,,,,,,,,,,,,,,,
60.0,49.19324444444444,,,,,,,,,,,,,,,,,
62.0,53.178747481607246,,,,,,,,,,,,,,,,,
63.0,44.79222105773896,68.77893333333333,,,,,,,,,,,,,,,,
64.0,64.9601685368537,,,,,,,,,,,,,,,,,
66.0,58.21178571926158,,,,,,,,,,,,,,,,,
68.0,58.7117397073736,63.6784842953561,,,,,,,,,,,,,,,,
69.0,66.03365322415559,,,,,,,,,,,,,,,,,
70.0,44.727069813176,,,,,,,,,,,,,,,,,
71.0,69.14261280707164,67.27062923976608,,,,,,,,,,,,,,,,
79.0,54.482897157622745,,,,,,,,,,,,,,,,,
85.0,69.2368795042054,,,,,,,,,,,,,,,,,
